Place ID,Latitude,Longitude
ChIJz8wCdKn9RQ0RC7pz0l_HdtE,42.3437052,-3.7026625
ChIJfyvumtf8RQ0RK4v3lGhb3aI,42.3437115,-3.7001887
ChIJQX70fRb7RQ0RlznQZvpIZYA,42.3437052,-3.7026625
ChIJM1p_Stb8RQ0RLQXXnSEHShk,42.3437115,-3.7001887
ChIJg48nSdz8RQ0RgW59FonR6tg,42.3437052,-3.7026625
ChIJEdsZeNf8RQ0R0Vt1LgLlHvE,42.3437115,-3.7001887
ChIJWfvrimT9RQ0RI2aEA2gf8no,42.343925,-3.7003158
ChIJNb7if9f8RQ0RVz4FtjOayrw,42.343925,-3.7003158
ChIJha_8yQT9RQ0RTCOHYX3QRl0,42.343925,-3.7003158
ChIJzZE5g9f8RQ0RExLk_gE_3hY,42.343925,-3.7003158
ChIJMddQetf8RQ0Rr8-B9leaMqQ,42.343925,-3.7003158
ChIJqdbmHUE6RA0RyiPGGHm8TRg,41.6835237,-3.5232981
ChIJJYMMFZo6Tw0RZooFa13hRkI,42.9385024,-3.5724179
ChIJO4h0fcc7RA0RCfe3gRpWmmE,41.6835237,-3.5232981
ChIJbQfl_vo7Tw0RWkz4PzKqcjg,42.9385024,-3.5724179
ChIJJzgUcVo7RA0Rl5DnBXTky-g,41.6835237,-3.5232981
ChIJ11hTqfY7Tw0RbnIF9GGlnGw,42.9385024,-3.5724179
ChIJ8Qc5yFk7RA0R29ScHFd9-Ag,41.6835237,-3.5232981
ChIJ52ZNa5o6Tw0RguH_0TlXFps,42.9385024,-3.5724179
ChIJt1F_YUA6RA0R5ww9h9FRiL8,41.6835237,-3.5232981
ChIJY5UhAgA7Tw0R9dMjxfz3aHU,42.9385024,-3.5724179
ChIJJb4wXQA7RA0RP4bNUKfAAbo,41.6835237,-3.5232981
ChIJnSs_d5o6Tw0Reor95hSPQoU,42.9385024,-3.5724179
ChIJQWHTZ0A6RA0R7FM8rSVn5HM,41.6835237,-3.5232981
ChIJ4ehj_yY7Tw0RpBtWOoaLtgc,42.9385024,-3.5724179
ChIJ730lapo6Tw0Rx1KFybAoT4w,42.9385024,-3.5724179
ChIJaXERQXw7RA0RScLVb2oQDKY,41.6835237,-3.5232981
ChIJpS-2DJo6Tw0RMMnIL3v7cCc,42.9385024,-3.5724179
ChIJq6rq-UY6RA0RrSqknQqLd5A,41.6835237,-3.5232981
ChIJ0caJPZo6Tw0RTnWoVnZED58,42.9385024,-3.5724179
ChIJa6DBUAA7RA0Rs_iSKsr-gaA,41.6835237,-3.5232981
ChIJB1ViPjs7Tw0RXDKDlCfZ2mo,42.9385024,-3.5724179
ChIJHzP7XAA7RA0RZ3JP86BJqow,41.6835237,-3.5232981
ChIJa9OPKrk7Tw0RKlYf-Xfn97A,42.9385024,-3.5724179
ChIJC9ESpvA7RA0R5w2c0wkOqq0,41.6835237,-3.5232981
ChIJnyXOOZo6Tw0RP9yZvN8BNL8,42.9385024,-3.5724179
